Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.PayerID,Yes,String,Return FAILED when EmployeePIN sets empty OR NULL,,,FAILED,,,,
$.PayerID,,String[0:64],Return FAILED when PayerID sets more than 64 chars,,,FAILED,,,,
$.PayerID,,String[0:10],Return FAILED when PayerID value is not the same STX.PAYOR_DATA_VALIDATION table (length<64),,,FAILED,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZCCCS,,AZCCCS,SUCCESS,,,,yes
$.PayerID,,String,Return SUCCESS when PayerID value is AZDDD,,AZDDD,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZACH,,AZACH,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZBUFC,,AZBUFC,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZCHP,,AZCHP,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZMCC,,AZMCC,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZMYC,,AZMYC,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZSHC,,AZSHC,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZUCP,,AZUCP,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZCDMP,,AZCDMP,SUCCESS,,,,
$.ClientQualifier,Yes,String,Return FAILED when ClientQualifier sets empty OR NULL,,,FAILED,,,,
$.ClientQualifier,,String[0:30],Return FAILED when ClientQualifier sets more than 30 chars,,,FAILED,,,,
$.ClientQualifier,,String[0:10],ClientQualifier is not ClientCustomID (length<30) ,,,FAILED,,,,
$.ClientQualifier,,String,ClientQualifier is  ClientCustomID,,ClientCustomID,SUCCESS,,,,yes
$.ClientIdentifier,Yes,String,Return FAILED when ClientIdentifier sets empty OR NULL,,,FAILED,,,,
$.ClientIdentifier ,,String[0:64],Return FAILED when ClientIdentifier sets more than 64 chars,,,FAILED,,,,
$.ClientIdentifier,,String,Return FAILED when ClientIdentifier sets less than 9 chars,,A1234567,FAILED,,,,
$.ClientIdentifier ,,String,Return FAILED when ClientIdentifier sets more than 9 chars,,A123456789,FAILED,,,,
$.ClientIdentifier ,,Integer[0:8],ClientIdentifier is full digits,,,FAILED,,,,
$.ClientIdentifier ,,String[0:8],ClientIdentifier is full letters,,,FAILED,,,,
