Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.PayerID,Yes,String,Return FAILED when PayerID sets empty OR NULL,,,SUCCESS,,FAILED,,
$.PayerID,,String[0:64],Return FAILED when PayerID sets more than 64 chars,,,SUCCESS,,FAILED,,
$.PayerID,,String,Return FAILED when PayerID value is AZCOOO,,AZCOOO,SUCCESS,,FAILED,,
$.PayerID,,String,Return SUCCESS when PayerID value is AZCCCS,,AZCCCS,SUCCESS,,SUCCESS,,
$.ClientQualifier,Yes,String,Return FAILED when ClientQualifier sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ClientQualifier,,String[0:30],Return FAILED when ClientQualifier sets more than 30 chars,,,SUCCESS,,FAILED,,
$.ClientQualifier,,String,ClientQualifier is not ClientCustomID ,,ClientSSN,SUCCESS,,FAILED,,
$.ClientQualifier,,String,ClientQualifier is  ClientCustomID,,ClientCustomID,SUCCESS,,SUCCESS,,
$.ClientIdentifier,Yes,String,Return FAILED when ClientIdentifier sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,String[0:7],Return FAILED when ClientIdentifier sets less than 9 chars,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,String[0:9],Return FAILED when ClientIdentifier sets more than 9 chars,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,int[1:8],Return FAILED when ClientIdentifier is full 9 digits,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,String[0:8],Return FAILED when ClientIdentifier is full 9 letters,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,String,Return FAILED when ClientIdentifier starts w/ 1 UC letter [a-z] and followed by 8 digits [0-9],,a12345678,SUCCESS,,FAILED,,
$.ProviderQualifier,Yes,String,Return FAILED when ProviderQualifier sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ProviderQualifier,,String[0:30],Return FAILED when ProviderQualifier sets more than 30 chars,,,SUCCESS,,FAILED,,
$.ProviderQualifier,,String[0:10],Return FAILED when ProviderQualifier sets less than 30 chars (not MedicaidID),,SandataID,SUCCESS,,FAILED,,
$.ProviderID,Yes,String,Return FAILED when ProviderID sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ProviderID,,String[0:6],Return FAILED when ProviderID sets more than 6 chars,,,SUCCESS,,FAILED,,
$.ProviderID,,String[0:4],Return FAILED when ProviderID sets less than 6 chars,,,SUCCESS,,FAILED,,
$.ProviderID,,String[0:5],Return SUCCESS when ProviderID is full 6 chars ,,,SUCCESS,,SUCCESS,,
$.AuthorizationEndDate,Yes,String,Return Failed when AuthorizationEndDate set empty OR NULL (Required for AZ),,,SUCCESS,,FAILED,,
$.AuthorizationEndDate,,String,Return FAILED when AuthorizationEndDate set incorrect format (YYYY-MM-DD),,25-12-2020,SUCCESS,,FAILED,,
$.AuthorizationEndDate,,String,Return SUCCESS when AuthorizationEndDate set format (YYYY-MM-DD),,2020-12-25,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].AuthorizationServiceID,Yes,String,Return FAILED when AuthorizationServiceID set empty OR NULL,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].AuthorizationServiceID,,String[0:5],Return FAILED when AuthorizationServiceID set more than 5 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].AuthorizationServiceID,,String,Return FAILED when AuthorizationServiceID value is G0000,,G0000,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0299,,G0299,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].PayerProgram,Yes,String,Return FAILED when PayerProgram set empty OR NULL,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].PayerProgram ,,String[0:9],Return FAILED when PayerProgram set more than 9 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].PayerProgram,,String,Return FAILED when PayerProgram value is AHOOOO,,AHOOOO,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].PayerProgram,,String,Return SUCCESS when PayerProgram value is AHCCCS,,AHCCCS,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier1,,String,Return SUCCESS when Modifier1 set empty OR NULL,,,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier1,,String,Modifier1 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String[0:2],Modifier1 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String,Modifier1 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String,Return FAILED when Modifier1 value is OO,,OO,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String,Return SUCCESS when Modifier1 value is UN,,UN,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier2,,String,Return SUCCESS when Modifier2 set empty OR NULL,,,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier2,,String,Modifier2 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String[0:2],Modifier2 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String,Modifier2 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String,Return FAILED when Modifier2 value is OO,,OO,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String,Return SUCCESS when Modifier3 set empty OR NULL,,,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier3,,String,Modifier3 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String[0:2],Modifier3 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String,Modifier3 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String,Return FAILED when Modifier3 value is OO,,OO,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String,Return SUCCESS when Modifier4 set empty OR NULL,,,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].Modifier4,,String,Modifier4 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String[0:2],Modifier4 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String,Modifier4 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String[0:1],Modifier4 has value,,,SUCCESS,,FAILED,,
$.MedicalNecessityDeterminationDate,,String,Return SUCCESS when MedicalNecessityDeterminationDate sets format (YYYY-MM-DD),,2020-12-25,SUCCESS,,SUCCESS,,yes
$.MedicalNecessityDeterminationDate,,String,Return SUCCESS when MedicalNecessityDeterminationDate sets empty ,,,SUCCESS,,SUCCESS,,
$.MedicalNecessityDeterminationDate,,null,Return SUCCESS when MedicalNecessityDeterminationDate sets NULL,,,SUCCESS,,SUCCESS,,
$.MedicalNecessityDeterminationDate,,String,Return FAILED when MedicalNecessityDeterminationDate sets incorrect format (YYYY-MM-DD),,25-12-2020,SUCCESS,,FAILED,,
$.MedicalNecessityDeterminationDate,,String,Return FAILED when MedicalNecessityDeterminationDate sets incorrect date time with day 02-29-2021,,2021-02-29,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].AuthorizationLimit,yes,String,Return FAILED when AuthorizationLimit sets empty OR NULL,,,SUCCESS,,FAILED,,
$.AuthorizationLimited[0].AuthorizationLimit ,,int[0:5],Return FAILED when AuthorizationLimit set more than 5 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimited[0].AuthorizationLimit,,int[0:4],Return SUCCESS when AuthorizationLimit set less than 5 chars,,,SUCCESS,,SUCCESS,,
