Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.EmployeePIN,Yes,String,Return Failed when EmployeePIN set empty OR NULL,,,FAILED,,,,
$.EmployeePIN,,Integer[0:9],Return Failed when EmployeePIN set more than 9 chars,,,FAILED,,,,
$.EmployeePIN,,Integer[0:2],Return Failed when EmployeePIN set less than 4 chars,,,FAILED,,,,
$.EmployeePIN,,String,Return Failed when EmployeePIN is both chars and digits ,,8729380ab,FAILED,,,,
$.EmployeePIN,,String,Return Failed when EmployeePIN full 9 chars with letters ,,abcdefghtz,FAILED,,,,
$.EmployeePIN,,Integer[0:8],Return SUCCESS when EmployeePIN is 9 digits ,,,SUCCESS,,,,
$.EmployeePIN,,Integer[0:3],Return SUCCESS when EmployeePIN is 4 digits ,,,SUCCESS,,,,yes
$.Account,,String,Account set empty,,,FAILED,,,,
$.Account,,null,Account set null,,,FAILED,,,,
$.EmployeeID,,String,EmployeeID set empty,,,SUCCESS,,,,
$.EmployeeID,,null,EmployeeID set null,,,SUCCESS,,,,
$.EmployeeID,,String,EmployeeID set more than 9 digit,,1234567899,FAILED,,,,
$.EmployeeID,,String,EmployeeID set less than 9 digit,,12345678,FAILED,,,,
$.EmployeeID,,String,EmployeeID 9 chars with digit and letters,,123456ung,FAILED,,,,
$.EmployeeID,,String,EmployeeID full 9 letters,,anthitqme,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN set empty,,,SUCCESS,,,,
$.EmployeeSocialSecurity,,null,EmployeeSSN set null,,,SUCCESS,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN set more than 9 digit,,1234567899,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN set less than 9 digit,,12345678,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN 9 chars with digit and letters,,123456ung,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN full 9 letters,,anthitqme,FAILED,,,,
$.EmployeeIDCustom1,,String,EmployeeIDCustom1 set empty,,,SUCCESS,,,,
$.EmployeeIDCustom1,,null,EmployeeIDCustom1 set null,,,SUCCESS,,,,
$.EmployeeIDCustom1,,String,EmployeeIDCustom1 set more than 64 chars,,1872938012,FAILED,,,,
$.EmployeeIDCustom1,,String,EmployeeIDCustom1 set less than 64 chars,,18729380,FAILED,,,,
$.EmployeeIDCustom1,,String,EmployeeIDCustom1 64 chars with digit and letters ,,8729380ab,FAILED,,,,
