Account,Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,Error Message,isCheckedDatabase
1,AZCCCS,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
2,AZDDD,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
3,AZACH,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
4,AZBUFC,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
5,AZCHP,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
6,AZMCC,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
7,AZMYC,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
8,AZSHC,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
9,AZUCP,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
10,AZCDMP,AHCCCS,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
11,AZCCCS,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
12,AZDDD,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
13,AZACH,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
14,AZBUFC,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
15,AZCHP,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
16,AZMCC,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
17,AZMYC,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
18,AZSHC,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
19,AZUCP,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
20,AZCDMP,AHCCCS,S5130,,U7,,,,,SUCCESS,SUCCESS,0,
21,AZCCCS,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
22,AZDDD,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
23,AZACH,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
24,AZBUFC,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
25,AZCHP,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
