Name,Require,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.PayerProgram,,String,PayerProgram is empty,,,SUCCESS,,,,
$.PayerProgram,,null,PayerProgram is null,,null,SUCCESS,,,,
$.ClientIDQualifier,,String,ClientIDQualifier is ClientCustomID,,ClientCustomID,SUCCESS,,,,yes
$.ClientIDQualifier,yes,String,ClientIDQualifier is required,,,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier is ClientSSN,,ClientSSN,FAILED,,,,
$.ClientID,yes,String,ClientID is required,,ClientSSN,FAILED,,,,
$.ClientID,,String[0:10],ClientID is greater max length,,ClientSSN,FAILED,,,,
$.EmployeePIN,yes,String,EmployeePIN is required,,,FAILED,,,,
$.EmployeePIN,,String[0:9],EmployeePIN is <> 9 char,,,FAILED,,,,
$.EmployeePINQualifier,,String,EmployeePINQualifier is <> EmployeeSSN,,EmployeeCustomID,FAILED,,,,
$.ScheduleID,yes,String,ScheduleID is required,,,FAILED,,,,
$.ScheduleStartTime,yes,String,ScheduleStartTime is required,,,FAILED,,,,
$.ScheduleStartTime,,String,ScheduleStartTime is incorrect format,,20200305T22:15:35Z,FAILED,,,,
$.ScheduleEndTime,yes,String,ScheduleID is required,,EmployeeCustomID,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime is incorrect format,,20200310T22:15:35Z,FAILED,,,,
$.ScheduledDuration,,null,ScheduledDuration is null,,,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag is incorrect format,,2,FAILED,,,,
$.ScheduleFlag,,null,ScheduleFlag is null,,,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag is empty,,,SUCCESS,,,,
$.Weekend,,null,Weekend is null,,,SUCCESS,,,,
$.Weekend,,String,Weekend is empty,,,SUCCESS,,,,
$.Weekend,,String,Weekend is incorrect format,,20200305T00:00:00Z,FAILED,,,,
$.Modifier1,,String[0:2],Modifier1 is greater 2 char,,,FAILED,,,,
$.Modifier2,,String[0:2],Modifier2 is greater 2 char,,,FAILED,,,,
$.Modifier3,,String[0:2],Modifier3 is greater 2 char,,,FAILED,,,,
$.Modifier4,,String[0:2],Modifier4 is greater 2 char,,,FAILED,,,,
$.ProcedureCode,,String,ProcedureCode is not in list,,G0291,FAILED,,,,
$.ProcedureCode,,null,ProcedureCode is null,,,SUCCESS,,,,
$.ProcCodeQualifier,,null,ProcCodeQualifier is null,,,SUCCESS,,,,
$.ProcCodeQualifier,,String,ProcCodeQualifier is empty,,,SUCCESS,,,,
$.BillCode,,null,BillCode is null,,,SUCCESS,,,,
$.BillCode,,String,BillCode is empty,,,SUCCESS,,,,
$.VisitType,,null,VisitType is null,,,SUCCESS,,,,
$.VisitType,,String,VisitType is empty,,,SUCCESS,,,,
$.LiveInCase,,null,LiveInCase is null,,,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is empty,,,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is invalid value,,M,FAILED,,,,
$.Status,,null,Status is null,,,SUCCESS,,,,
$.Status,,String,Status is empty,,,SUCCESS,,,,
$.Status,,String,Status is invalid value,,03,FAILED,,,,
$.ClientTimeZone,,null,ClientTimeZone is null,,,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is empty,,,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Alaska,,US/Alaska,SUCCESS,,,,yes
$.ClientTimeZone,,String,ClientTimeZone is US/Aleutian,,US/Aleutian,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Arizona,,US/Arizona,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Central,,US/Central,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/East-Indiana,,US/East-Indiana,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Eastern,,US/Eastern,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Hawaii,,US/Hawaii,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Indiana-Starke,,US/Indiana-Starke,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Michigan,,US/Michigan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Mountain,,US/Mountain,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Pacific,,US/Pacific,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is US/Samoa,,US/Samoa,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Indianapolis,,America/Indiana/Indianapolis,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Knox,,America/Indiana/Knox,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Marengo,,America/Indiana/Marengo,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Petersburg,,America/Indiana/Petersburg,SUCCESS,,,,
