Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Home,,Home,SUCCESS,,,,
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Other,,Other,SUCCESS,,,,
$.ClientAddress[0].ClientAddressType,,,ClientAddressType is Business,,Business,SUCCESS,,,,
$.ClientAddress[0].ClientAddressIsPrimary,,String,ClientAddressIsPrimary is Required,,true,SUCCESS,,,,
$.ClientAddress[0].ClientAddressIsPrimary,,String,ClientAddressIsPrimary is true or false ,,false,SUCCESS,,,,
$.ClientAddress[0].ClientAddressIsPrimary,,String,ClientAddressIsPrimary is  5 chars,,false,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLine1,,String,ClientAddressLine1 is Required,,4400 Massachusetts,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLine1,,String,ClientAddressLine1 is 30 chars,,4 Massachusetts Washington DC2,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLine2,,String,ClientAddressLine2 is 30 chars,,4 Massachusetts Washington DC6,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLine2,,String,ClientAddressLine2 is null,,,SUCCESS,,,,
$.ClientAddress[0].ClientCounty,,String,ClientCounty is 25 chars,,Commonwealth of The Baham,SUCCESS,,,,
$.ClientAddress[0].ClientCounty,,String,ClientCounty is null,,,SUCCESS,,,,
$.ClientAddress[0].ClientCity,,String,ClientCity is Required,,America,SUCCESS,,,,
$.ClientAddress[0].ClientCity,,String,ClientCity is 30 chars,,RepublicaBolivarianadeVenezuel,SUCCESS,,,,
$.ClientAddress[0].ClientState,,String,ClientState is Required,,LA,SUCCESS,,,,
$.ClientAddress[0].ClientState,,String,ClientState is 2 chars,,NY,SUCCESS,,,,
$.ClientAddress[0].ClientZip,,String,ClientZip is Required,,10017,SUCCESS,,,,
$.ClientAddress[0].ClientZip,,String,ClientZip is 9 chars,,100171234,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLongitude,,Decimal,ClientAddressLongitude is Required,,-73.4228741,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLongitude,,Decimal,ClientAddressLongitude is 20 chars,,-73.4228741456786,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLatitude,,Decimal,ClientAddressLatitude is Required,,43.46,SUCCESS,,,,
$.ClientAddress[0].ClientAddressLatitude,,Decimal,ClientAddressLatitude is 19 chars,,43.48741456786,SUCCESS,,,,
