Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientResponsibleParty[0].ClientContactType,,Null,ClientContactType is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Other,,Other,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Child,,Child,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Friend,,Friend,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Parent,,Parent,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Sibling,,Sibling,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactType,,String,ClientContactType is Spouse,,Spouse,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactFirstName,,Null,ClientContactFirstName is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactFirstName,,String,ClientContactFirstName is 30 chars,,ClientContactLastNamemaxlength,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactLastName,,Null,ClientContactLastName is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactLastName,,String,ClientContactLastName is 30 chars,,ClientContactLastNamemaxlength,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhoneType,,Null,ClientContactPhoneType is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhoneType,,String,ClientContactPhoneType is  Business/Home/Mobile/Other,,Business,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhoneType,,String,ClientContactPhoneType is  Business/Home/Mobile/Other,,Home,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhoneType,,String,ClientContactPhoneType is  Business/Home/Mobile/Other,,Other,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhoneType,,String,ClientContactPhoneType is  Business/Home/Mobile/Other,,Mobile,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhone,,String,ClientContactPhone is 10 chars,,3456547869,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactPhone,,Null,ClientContactPhone is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactEmailAddress,,String,ClientContactEmailAddress is 64 chars,,ClientContactLastNamemaxleashdushadasuaaaauuungth@mailinator.com,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactAddressLine1,,String,ClientContactAddressLine1 is 30 chars,,23 ClClientContactAddressLine1,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactAddressLine1,,Null,ClientContactAddressLine1 is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactAddressLine2,,String,ClientContactAddressLine2 is 30 chars,,23 ClClientContactAddressLine1,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactAddressLine2,,Null,ClientContactAddressLine2 is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactCity,,String,ClientContactCity is 30 chars,,ClientContactCity is charsaaaa,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactCity,,Null,ClientContactCity is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactState,,String,ClientContactState is 2 chars,,NY,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactState,,Null,ClientContactState is null,,,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactZip,,String,ClientContactZip is 9 chars,,567686497,SUCCESS,,,,
$.ClientResponsibleParty[0].ClientContactZip,,Null,ClientContactZip is null,,,SUCCESS,,,,
