Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientTimezone ,Yes,String,ClientTimeZone is Required field,,,FAILED,,,,
$.ClientTimezone ,,String[0:64],ClientTimeZone  is greater than 64 chars,,,FAILED,,,,
$.ClientID ,,String[0:10],ClientID  is greater than 10 chars,,,FAILED,,,,
$.ClientFirstName,Yes,String,ClientFirstName is Required,,,FAILED,,,,
$.ClientFirstName,,String[0:30],ClientFirstName is greater than 30 chars,,,FAILED,,,,
$.ClientLastName,Yes,String,ClientLastName is full numeric chars,,,FAILED,,,,
$.ClientLastName,,String[0:30],ClientLastName is greater than 30 chars,,,FAILED,,,,
$.ClientMiddleInitial,,String[0:1],ClientMiddleInitial is greater than 1 char,,,FAILED,,,,
$.ClientSSN ,,String[0:9],ClientSSN  is greater than 9 chars,PA;VT,,FAILED,,,,
$.ClientMiddleInitial,,String,ClientMiddleInitial is empty,,,SUCCESS,,,,
$.ClientMiddleInitial,,null,ClientMiddleInitial is null,,,SUCCESS,,,,
$.ClientSSN ,,null,ClientSSN is null,PA;VT,,SUCCESS,,,,yes
$.ClientSSN ,,String,ClientSSN is empty,PA;VT,,SUCCESS,,,,
$.ClientID ,,null,ClientID is null,,,SUCCESS,,,,
$.ClientID ,,String,ClientID is empty string,RI;PA;VT,,FAILED,,,,
$.ClientOtherID,,String,ClientOtherID is empty,RI;PA;VT,,FAILED,,,,
$.ClientOtherID,,null,ClientOtherID is Null,RI;PA;VT,,SUCCESS,,,,yes
$.ClientOtherID ,,String[0:24],ClientOtherID  is greater than 24 chars,PA;VT,,FAILED,,,,
$.ClientOtherID ,,String,ClientOtherID  is not numeric chars (PA is pass),RI;PA;VT,1201a,SUCCESS,,,,
$.MissingMedicaidID,,boolean,MissingMedicaidID is False,PA;VT,False,SUCCESS,,,,yes
$.MissingMedicaidID,,String,MissingMedicaidID is different True or False,PA;VT,AAA,FAILED,,,,
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Home,,Home,SUCCESS,,,,
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Other,,Other,SUCCESS,,,,
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Business,,Business,SUCCESS,,,,
$.ClientAddress[0].ClientAddressIsPrimary,,String,ClientAddressIsPrimary is Required,,true,SUCCESS,,,,
