Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.EmployeeOtherID,,String,EmployeeOtherID is not required,,,SUCCESS,,,,
$.GroupCode,,String,GroupCode is not required,,,SUCCESS,,,,
$.ClientOtherID,,Null,ClientOtherID is not required,,,SUCCESS,,,,
$.Modifier1,,Null,Modifier1 is not required,,,SUCCESS,,,,
$.Modifier2,,Null,Modifier2 is not required,,,SUCCESS,,,,
$.Modifier3,,Null,Modifier3 is not required,,,SUCCESS,,,,
$.Modifier4,,Null,Modifier4 is not required,,,SUCCESS,,,,
$.ScheduleStartTime,,Null,ScheduleStartTime is not required,,,SUCCESS,,,,
$.ScheduleEndTime,,Null,ScheduleEndTime is not required,,,SUCCESS,,,,
$.AdjInDateTime,,Null,AdjInDateTime is not required,,,SUCCESS,,,,
$.AdjOutDateTime,,Null,AdjOutDateTime is not required,,,SUCCESS,,,,
$.BillVisit,,Null,BillVisit is not required,,,SUCCESS,,,,
$.HoursToBill,,Null,HoursToBill is not required,,,SUCCESS,,,,
$.HoursToPay,,Null,HoursToPay is not required,,,SUCCESS,,,,
$.Memo,,Null,Memo is not required,,,SUCCESS,,,,
$.ClientVerifiedTimes,,Null,ClientVerifiedTimes is not required,,,SUCCESS,,,,
$.ClientVerifiedTasks,,Null,ClientVerifiedTasks is not required,,,SUCCESS,,,,
$.ClientVerifiedService,,Null,ClientVerifiedService is not required,,,SUCCESS,,,,
$.ClientSignatureAvailable,,Null,ClientSignatureAvailable is not required,,,SUCCESS,,,,
$.ClientVoiceRecording,,Null,ClientVoiceRecording is not required,,,SUCCESS,,,,
$.Calls[0].GroupCode,,Null,Call GroupCode is not required,,,SUCCESS,,,,
$.Calls[0].Location,,Null,Call Location is not required,,,SUCCESS,,,,
$.VisitExceptionAcknowledgement[0].ExceptionID,,Null,ExceptionID is not required,,,SUCCESS,,,,
$.VisitExceptionAcknowledgement[0].ExceptionAcknowledged,,Null,ExceptionAcknowledged is not required,,,SUCCESS,,,,
$.VisitChanges[0].GroupCode,,Null,VisitChanges GroupCode is not required,,,SUCCESS,,,,
$.VisitChanges[0].ResolutionCode,,Null,VisitChanges ResolutionCode is not required,,,SUCCESS,,,,
$.Tasks[0].TaskReading,,Null,TaskReading is not required,,,SUCCESS,,,,
$.Tasks[0].TaskRefused,,Null,TaskRefused is not required,,,SUCCESS,,,,
