Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.Account,yes,String,Account is required,,,FAILED,,,,
$.ClientIDQualifier,yes,String[0:20],ClientIDQualifier is require 20 string length,,,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientID,,ClientID,SUCCESS,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientSSN,,ClientSSN,SUCCESS,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientOtherID,,ClientOtherID,SUCCESS,,,,yes
$.ClientIDQualifier,,String,ClientIDQualifier value ClientCustomID,,ClientCustomID,SUCCESS,,,,
$.ClientID,yes,String[0:10],ClientID must be 10 digits including leading zeros,,,FAILED,,,,
$.ClientID,,String,ClientID 10 include digits and letters ,,123456abce,FAILED,,,,
$.ClientID,,String,ClientID 9 digits ,,123456789,SUCCESS,,,,
$.ClientID,,String,ClientID 10 letters ,,acbefltshp,FAILED,,,,
$.EmployeePINQualifier,yes,String[0:20],EmployeePINQualifier is required,,,FAILED,,,,
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeSSN ,,EmployeeSSN,SUCCESS,,,,yes
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeRegID ,,EmployeeRegID,SUCCESS,,,,
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeCustomID ,,EmployeeCustomID,SUCCESS,,,,
$.EmployeePIN,yes,int[0:9],EmployeePIN value 9 digits ,,,FAILED,,,,
$.ScheduleID,yes,String[0:40],ScheduleID value 40 letters ,,,FAILED,,,,
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-02T12:12:12Z,SUCCESS,,,,
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-30T12:12:12Z,FAILED,,,,yes
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-02-2020T12:12:12Z,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-03-30T12:12:12Z,SUCCESS,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-30-02T12:12:12Z,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-02-2020T12:12:12Z,FAILED,,,,
$.ScheduledDuration,,String,ScheduledDuration with correct format ,,25,SUCCESS,,,,
$.ARNumber,,null,ARNumber set null,,,SUCCESS,,,,
$.ARNumber,,String[0:10],ARNumber set max length,,,FAILED,,,,
$.PayRate,,null,PayRate set null,,,SUCCESS,,,,
$.PayRate,,String,PayRate set max length,,12.532,FAILED,,,,
$.BillRate,,null,BillRate set null,,,SUCCESS,,,,
$.BillRate,,String,BillRate set max length,,123.532,FAILED,,,,
$.ScheduleFlag,,null,ScheduleFlag set null,,,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 1,,1,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 0,,0,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 01,,01,FAILED,,,,
$.ScheduleFlag,,String,ScheduleFlag set 3,,3,FAILED,,,,
$.Status,,String,ClientStatus value 02,,02,SUCCESS,,,,
$.Status,,String,ClientStatus value 04,,04,SUCCESS,,,,
$.Status,,String,ClientStatus value 05,,05,FAILED,,,,
$.Status,,String,ClientStatus value 2,,2,FAILED,,,,
$.Status,,null,ClientStatus value null,,,SUCCESS,,,,
$.Modifier1,,null,Modifier1 is null,,,SUCCESS,,,,
$.Modifier1,,String[0:2],Modifier1 set max length,,,FAILED,,,,
$.Modifier2,,null,Modifier2 is null,,,SUCCESS,,,,
$.Modifier2,,String[0:2],Modifier2 set max length,,,FAILED,,,,
$.Modifier3,,null,Modifier3 is null,,,SUCCESS,,,,
$.Modifier3,,String[0:2],Modifier3 set max length,,,FAILED,,,,
$.Modifier4,,null,Modifier4 is null,,,SUCCESS,,,,
$.Modifier4,,String[0:2],Modifier4 set max length,,,FAILED,,,,
$.Contract,,null,Contract set null,,,SUCCESS,,,,
$.Contract,,String[0:9],Contract set max length,,,FAILED,,,,
$.Branch,,null,Branch set null,,,SUCCESS,,,,
$.Branch,,String[0:2],Branch set empty,,,FAILED,,,,
$.Discipline,,null,Discipline set null,,,SUCCESS,,,,
$.Discipline,,String[0:17],Discipline range 17 letters,,,FAILED,,,,
$.Service,,String[0:15],Service is max 15 letters,,,FAILED,,,,
$.ProcedureCode,,String[0:5],ProcedureCode S5130,,,FAILED,,,,
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-02T12:12:12Z,SUCCESS,,,,
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-30T12:12:12Z,FAILED,,,,yes
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-02-2020T12:12:12Z,FAILED,,,,
$.BillCode,,String[0:5],BillCode set max length,,,FAILED,,,,
$.ProcCodeQualifier,,String[0:2],ProcCodeQualifier is length 2 letters,,,FAILED,,,,
$.ProcCodeQualifier,,String,ProcCodeQualifier is ZZ,,ZZ,SUCCESS,,,,
$.VisitType,,null,VisitType is null,,,SUCCESS,,,,
$.VisitType,,String,VisitType is M,,M,SUCCESS,,,,
$.VisitType,,String,VisitType is MM ,,MM,FAILED,,,,
$.LiveInCase,,null,LiveInCase is null,,,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is Y,,Y,SUCCESS,,,,
