Account,Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,ErrorMessage,isCheckedDatabase
,HI_AC,AGYP,T1002,,,,,,PayerProgram is incorrect ,SUCCESS,SUCCESS,-553,
,HI_DDD,AGYI,S5135,,,,,,PayerProgram is incorrect ,SUCCESS,SUCCESS,-553,
,HI_DDD,CD,S9122,,,,,,,SUCCESS,SUCCESS,-553,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,,,,,PAI CHORE ,SUCCESS,SUCCESS,0,yes
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,UN,,,,PAI CHORE CPL,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,U5,,,,PAI CHORE SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,UA,,,,PAI CHORE AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,UN,U5,,,PAI CHORE CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5130,,UN,UA,,,PAI CHORE CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5135,,,,,,PAI COMP ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5135,,U5,,,,PAI COMP SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5135,,UA,,,,PAI COMP AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,U2,,,,PAII ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,UN,U2,,,PAII CPL,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,U5,U2,,,PAII SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,UA,U2,,,PAII AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,UN,U5,U2,,PAII CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9122,,UN,UA,U2,,PAII CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123,,U2,,,,PDN RN ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123,,UN,U2,,,PDN RN CPL ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123,,U5,U2,,,PDN RN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123,,UA,U2,,,PDN RN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123,,UN,U5,U2,,PDN RN CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,UN,UA,U2,,PDN RN CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U3,U2,,,PDN RN SV,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U3,U5,U2,,PDN RN SV SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U3,UA,U2,,PDN RN SV AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U4,U2,,,PDN RN ND,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U4,U5,U2,,PDN RN ND SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9123 ,,U4,UA,U2,,PDN RN ND AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,U2,,,,PDN LPN ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,UN,U2,,,PDN LPN CPL,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,U5,U2,,,PDN LPN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,UA,U2,,,PDN LPN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,UN,U5,U2,,PDN LPN CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S9124,,UN,UA,U2,,PDN LPN CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,,,,,ATTND US,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,U5,,,,ATTND US SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,UA,,,,ATTND US AR,SUCCESS,SUCCESS,0,yes
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TD,,,,ATTND RN,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TD,U5,,,ATTND RN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TD,UA,,,ATTND RN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TE,,,,ATTND LPN ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TE,U5,,,ATTND LPN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5125,,TE,UA,,,ATTND LPN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,,,,,RESPITE US,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,UN,,,,RESPITE US CPL,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,U5,,,,RESPITE US SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,UA,,,,RESPITE US AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,UN,U5,,,RESPITE US CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,S5150,,UN,UA,,,RESPITE US CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,,,,RESPITE RN ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,UN,,,RESPITE RN CPL ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,U5,,,RESPITE RN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,UA,,,RESPITE RN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,UN,U5,,RESPITE RN CPL SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TD,UN,UA,,RESPITE RN CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,,,,RESPITE LPN ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,UN,,,RESPITE LPN CPL,SUCCESS,SUCCESS,0,
