Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.PayerID,Yes,String,Return FAILED when EmployeePIN sets empty OR NULL,,,FAILED,,,,
$.PayerID,,String[0:64],Return FAILED when PayerID sets more than 64 chars,,,FAILED,,,,
$.PayerID,,String[0:10],Return FAILED when PayerID value is not the same STX.PAYOR_DATA_VALIDATION table (length<=64),,,FAILED,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_AC,,HI_AC,SUCCESS,,,,yes
$.PayerID,,String,Return SUCCESS when PayerID value is HI_AC ,,HI_AC ,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_KP,,HI_KP,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_HMSA,,HI_HMSA,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_OHANA,,HI_OHANA,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_UHC,,HI_UHC,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_SHOTT,,HI_SHOTT,SUCCESS,,,,
$.PayerID,,String,Return SUCCESS when PayerID value is HI_DDD,,HI_DDD,SUCCESS,,,,
$.PayerRegion,Yes,String,Return FAILED when PayerRegion sets empty OR NULL (Required for HI),,,FAILED,,,,
$.PayerRegion ,,String[0:2],Return FAILED when PayerRegion set more than 2 chars,,,FAILED,,,,
$.PayerRegion,,String[0:1],Return FAILED when PayerRegion value is not the same STX.PAYOR_DATA_VALIDATION table (length<=2),,,FAILED,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 01,,01,SUCCESS,,,,yes
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 04,,04,SUCCESS,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 05,,05,SUCCESS,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 07,,07,SUCCESS,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 08,,08,SUCCESS,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 09,,09,SUCCESS,,,,
$.PayerRegion,,String,Return SUCCESS when PayerRegion value is 31,,31,SUCCESS,,,,
$.ClientQualifier,Yes,String,Return FAILED when ClientQualifier sets empty OR NULL,,,FAILED,,,,
$.ClientQualifier,,String[0:30],Return FAILED when ClientQualifier sets more than 30 chars,,,FAILED,,,,
$.ClientQualifier,,String[0:10],ClientQualifier is not ClientCustomID (length<30) ,,,FAILED,,,,
