Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.PayerID,Yes,String,Return FAILED when PayerID sets empty OR NULL,,,SUCCESS,,FAILED,,
$.PayerID,,String[0:64],Return FAILED when PayerID sets more than 64 chars,,,SUCCESS,,FAILED,,
$.PayerID,,String,Return FAILED when PayerID value is HO_OO,,HO_OO,SUCCESS,,FAILED,,
$.PayerID                                          ,        ,String       ,Return SUCCESS when PayerID value is HI_AC                                 ,       ,HI_AC         ,SUCCESS    ,                     ,SUCCESS   ,                    ,Yes
$.PayerRegion,Yes,String,Return FAILED when PayerRegion sets empty OR NULL (Required for HI),,,SUCCESS,,FAILED,,
$.PayerRegion                                      ,        ,String[0:2]  ,Return FAILED when PayerRegion set more than 2 chars                       ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.PayerRegion,,String,Return FAILED when PayerRegion value is 00,,00,SUCCESS,,FAILED,,
$.PayerRegion                                      ,        ,String       ,Return SUCCESS when PayerRegion value is 01                                ,       ,01            ,SUCCESS    ,                     ,SUCCESS   ,                    ,Yes
$.ClientQualifier,Yes,String,Return FAILED when ClientQualifier sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ClientQualifier,,String[0:30],Return FAILED when ClientQualifier sets more than 30 chars,,,SUCCESS,,FAILED,,
$.ClientQualifier,,String,ClientQualifier is ClientCustomID,,ClientCustomID,SUCCESS,,SUCCESS,,
$.ClientIdentifier,Yes,String,Return FAILED when ClientIdentifier sets empty OR NULL,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,Integer[1:8],Return FAILED when ClientIdentifier sets less than 10 digits,,,SUCCESS,,FAILED,,
$.ClientIdentifier,,Integer[1:10],Return FAILED when ClientIdentifier sets more than 10 digits,,,SUCCESS,,FAILED,,
$.ProviderQualifier,Yes,String,Return FAILED when ProviderQualifier set empty OR NULL,,,SUCCESS,,FAILED,,
$.ProviderQualifier,,String[0:30],Return FAILED when ProviderQualifier set more than 30 chars,,,SUCCESS,,FAILED,,
$.ProviderQualifier,,String[0:10],Return FAILED when ProviderQualifier is SandataID,,SandataID,SUCCESS,,FAILED,,
$.ProviderQualifier                                ,        ,String       ,ProviderQualifier is MedicaidID                                            ,       ,MedicaidID    ,SUCCESS    ,                     ,SUCCESS   ,                    ,Yes
$.ProviderID,Yes,String,Return FAILED when ProviderID set empty OR NULL,,,SUCCESS,,FAILED,,
$.ProviderID,,Integer[1:6],Return FAILED when ProviderID set more than 6 digits,,,SUCCESS,,FAILED,,
$.ProviderID,,Integer[1:4],Return FAILED when ProviderID set less than 6 digits,,,SUCCESS,,FAILED,,
$.ProviderID                                       ,        ,String       ,Return FAILED when ProviderID set full 6 chars with both letters and digits,       ,abc435        ,SUCCESS    ,                     ,FAILED    ,                    ,
$.ProviderID                                       ,        ,String[0:5]  ,Return FAILED when ProviderID set full 6 chars with letters                ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.ProviderID                                       ,        ,int[1:5]     ,Return SUCCESS when ProviderID set full 6 chars with digits                ,       ,              ,SUCCESS    ,                     ,SUCCESS   ,                    ,
$.AuthorizationEndDate,Yes,String,Return Failed when AuthorizationEndDate set empty OR NULL (Required for HI),,,SUCCESS,,FAILED,,
$.AuthorizationEndDate,,String,Return FAILED when AuthorizationEndDate set incorrect format (YYYY-MM-DD),,25-12-2020,SUCCESS,,FAILED,,
$.AuthorizationEndDate,,String,Return SUCCESS when AuthorizationEndDate set format (YYYY-MM-DD),,2020-12-25,SUCCESS,,SUCCESS,,
$.AuthorizationLimit[0].AuthorizationServiceID     ,        ,String[0:5]  ,Return FAILED when AuthorizationServiceID set more than 5 chars            ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].AuthorizationServiceID     ,        ,String       ,Return FAILED when AuthorizationServiceID value is S000                    ,       ,S000          ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].PayerProgram               ,        ,String[0:9]  ,Return FAILED when PayerProgram sets more than 9 chars                     ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].PayerProgram               ,        ,String       ,Return FAILED when PayerProgram value is A000                              ,       ,A000          ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].Modifier1,,String,Modifier1 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String[0:2],Modifier1 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier1,,String,Modifier1 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String,Modifier2 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String[0:2],Modifier2 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier2,,String,Modifier2 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String,Modifier3 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String[0:2],Modifier3 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier3,,String,Modifier3 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String,Modifier4 is special chars,,$%^,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String[0:2],Modifier4 is greater than  2 chars,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String,Modifier4 is less than  2 chars,,A,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].Modifier4,,String[0:1],Modifier4 is equal 2 chars,,,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCodeIsPrimary,yes,String,Return FAILED when ClientDiagnosisCodeIsPrimary sets empty OR NULL,,,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCodeIsPrimary,,String[0:2],ClientDiagnosisCodeIsPrimary is greater than 1 chars,,,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is not Y or N,,R,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is N,,N,SUCCESS,,SUCCESS,,
$.DiagnosisCode[0].ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is Y,,Y,SUCCESS,,SUCCESS,,
$.DiagnosisCode[0].ClientDiagnosisCode,yes,String,Return FAILED when ClientDiagnosisCode sets empty OR NULL (Required for HI),,,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCode,,String[0:8],Return FAILED when ClientDiagnosisCode sets less than 10 chars,,,SUCCESS,,FAILED,,
$.DiagnosisCode[0].ClientDiagnosisCode             ,        ,String[0:10] ,Return FAILED when ClientDiagnosisCode sets more than 10 chars             ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.HFAAssessmentDate,yes,String,Return FAILED when HFAAssessmentDate sets empty OR NULL (Required for HI),,,SUCCESS,,FAILED,,
$.HFAAssessmentDate,,String,Return FAILED when HFAAssessmentDate sets incorrect format (YYYY-MM-DD),,25-12-2020,SUCCESS,,FAILED,,
$.HFAAssessmentDate                                ,        ,String       ,Return SUCCESS when HFAAssessmentDate sets format (YYYY-MM-DD)             ,       ,2020-12-25    ,SUCCESS    ,                     ,SUCCESS   ,                    ,Yes
$.AuthorizationLimit[0].AuthorizationLimit,yes,String,Return FAILED when AuthorizationLimit sets empty OR NULL,,,SUCCESS,,FAILED,,
$.AuthorizationLimit[0].AuthorizationLimit         ,        ,Int[0:5]     ,Return FAILED when AuthorizationLimit set more than 5 chars                ,       ,              ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].AuthorizationLimit         ,        ,Int[0:4]     ,Return SUCCESS when AuthorizationLimit set less than 5 chars               ,       ,              ,SUCCESS    ,                     ,SUCCESS   ,                    ,Yes
$.AuthorizationLimit[0].AuthorizationWeekStart     ,        ,             ,Just allow some specific value                                             ,       ,AAA           ,SUCCESS    ,                     ,FAILED    ,                    ,
$.AuthorizationLimit[0].AuthorizationLimitDayOfWeek,        ,             ,Just allow some specific value                                             ,       ,AAA           ,SUCCESS    ,                     ,FAILED    ,                    ,No
