Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientContacts[0].Account,Yes,String,Account is Required,,,FAILED,,,,
$.ClientContacts[0].Account,,String[1:10],Account is greater than 10 chars,,,FAILED,,,,
$.ClientContacts[0].ClientID,Yes,String,ClientID is Required,,,FAILED,,,,
$.ClientContacts[0].ClientID,,String[1:10],ClientID is greater than 10 chars,,P5678796748,FAILED,,,,
$.ClientContacts[0].ClientID,,String,ClientID is incorrect format,,FDDYD,FAILED,,,,
$.ClientContacts[0].ContactPhoneNumber,Yes,String,ContactPhoneNumber is Required,,,FAILED,,,,
$.ClientContacts[0].ContactPhoneNumber,,String[0:10],ContactPhoneNumber is greater than 10 chars,,4.31E+12,FAILED,,,,
$.ClientContacts[0].ContactPhoneNumber,,String,ContactPhoneNumber is not integer,,Telephone,FAILED,,,,
$.ClientContacts[0].ClientContactPhoneType,,String[0:12],ClientContactsPhoneType is greater than 12 chars,,4.31E+12,FAILED,,,,
$.ClientContacts[0].ClientContactPhoneType,,String,ClientContactsPhoneType is different Home;Mobile;Business and Other,,Telephone,FAILED,,,,
$.ClientContacts[0].ContactAddressLine1,,String[0:30],ContactAddressLine1 is greater than 30 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactAddressLine1,,String,ContactAddressLine1 is not chars,,4327428,SUCCESS,,,,
$.ClientContacts[0].ContactAddressLine2,,String[0:30],ContactAddressLine2 is greater than 30 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactAddressLine2,,String,ContactAddressLine2 is not chars,,4327428,SUCCESS,,,,
$.ClientContacts[0].ContactState,,String[0:2],ContactState is greater than 2 chars,,DRT,FAILED,,,,
$.ClientContacts[0].ContactState,,String,ContactState is incorect format,,FR,FAILED,,,,
$.ClientContacts[0].ContactCity,,String,ContactCity is not char,,4327428,FAILED,,,,
$.ClientContacts[0].ContactCity,,String[0:30],ContactCity is greater than 30 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactZip,,String[0:10],ContactZip is greater than 10 chars,,,FAILED,,,,
$.ClientContacts[0].ContactZip,,String,ContactZip is incorect format,,FR000,FAILED,,,,
$.ClientContacts[0].ContactRelationshipToClient,,String[0:20],ContactRelationshipToClient is greater than 20 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactRelationshipToClient,,String,ContactRelationshipToClient is not string,,3453536,FAILED,,,,
$.ClientContacts[0].ContactEmail,,String[0:64],ContactEmail is greater than 64 chars,,fshfdsgafdsatdasfdytasfdytasftydfATDGadstradSTRAdstdaTSRA@xyz.com,FAILED,,,,
$.ClientContacts[0].ContactEmail,,String,ContactEmail is incorrect format,,abc.xyz.com,FAILED,,,,
$.ClientContacts[0].ContactLastName,,String[0:30],ContactLastName is greater than 30 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactLastName,,String,ContactLastName is not string,,436346,FAILED,,,,
$.ClientContacts[0].ContactFirstName,,String[0:30],ContactFirstName is greater than 30 chars,,ClientAddressLine1 is t30 chars,FAILED,,,,
$.ClientContacts[0].ContactFirstName,,String,ContactFirstName is not string,,6346363,FAILED,,,,
