Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.Account,Yes,String,Return FAILED when Account sets empty OR NULL,,,FAILED,,,,
$.Account,,int,Account is different Sandata account number,,2563,FAILED,,,,
$.Account,,String[0:4],Acount is not number,,,FAILED,,,,
$.EmployeePIN,Yes,String,Return FAILED when EmployeePIN sets empty OR NULL,,,FAILED,,,,
$.EmployeePIN,,int[1:8],EmployeePIN is in range from 4 to 9 digits,,,SUCCESS,,,,yes
$.EmployeePIN,,int[1:9],EmployeePIN is greater than 9 digits,,,FAILED,,,,
$.EmployeePIN,,int[1:2],EmployeePIN is less than 4 digits,,,FAILED,,,,
$.EmployeePIN,,String[0:8],EmployeePIN is full 9 letters,,,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN 9 chars with digits and letters ,,8729380ab,FAILED,,,,
$.EmployeePIN,,String[0:8],EmployeePIN full 9 chars with letters ,,,FAILED,,,,
$.EmployeeLastName,Yes,String,Return FAILED when EmployeeLastName sets empty OR NULL,,,FAILED,,,,
$.EmployeeLastName,,String[0:29],EmployeeLastName is in range 30 chars,,,SUCCESS,,,,yes
$.EmployeeLastName,,String[0:30],EmployeeLastName is greater than 30 chars,,,FAILED,,,,
$.EmployeeLastName,,String,EmployeeLastName has numeric,,Lastname34201,FAILED,,,,
$.EmployeeFirstName,Yes,String,Return FAILED when EmployeeFirstName sets empty OR NULL,,,FAILED,,,,
$.EmployeeFirstName,,String[0:29],EmployeeFirstName is in range 30 chars,,,SUCCESS,,,,yes
$.EmployeeFirstName,,String[0:30],EmployeeFirstName is greater than 30 chars,,,FAILED,,,,
$.EmployeeFirstName,,String,EmployeeFirstName has numeric,,Firstname34201,FAILED,,,,
$.EmployeeMiddleInitial,Yes,String,Return SUCCESS when EmployeeMiddleInitial sets empty OR NULL,,,SUCCESS,,,,yes
$.EmployeeMiddleInitial,,String,EmployeeMiddleInitial is 1 char,,M,SUCCESS,,,,yes
$.EmployeeMiddleInitial,,String[0:1],EmployeeMiddleInitial is greater than 1 char,,,FAILED,,,,
$.Department,Yes,String,Return SUCCESS when Department sets empty OR NULL,,,SUCCESS,,,,yes
$.Department,,String[0:3],Department is greater than 3 chars,,,FAILED,,,,
$.Department,,String,Department 3 chars with digit and letters ,,12c,SUCCESS,,,,
$.Department,,int[1:2],Department is full 3 digits ,,,SUCCESS,,,,
$.Department,,String[0:2],Department is full 3 letters ,,,SUCCESS,,,,
$.EmployeeAPI,Yes,String,Return SUCCESS when EmployeeAPI sets empty OR NULL,,,SUCCESS,,,,yes
$.EmployeeAPI,,int[1:25],EmployeeAPI is greater than 25 digits,,,FAILED,,,,
$.EmployeeAPI,,int[1:23],EmployeeAPI is in range 25 digits,,,SUCCESS,,,,
$.EmployeeAPI,,String[0:10],EmployeeAPI is full letters,,,FAILED,,,,
