Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.Account,,String,EmployeePIN set empty,,,FAILED,,,,
$.Account,,null,EmployeePIN set null,,,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN set empty,,,FAILED,,,,
$.EmployeePIN,,null,EmployeePIN set null,,,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN set more than 9 chars,,1872938012,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN set less than 9 chars,,18729380,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN 9 chars with digit and letters ,,8729380ab,FAILED,,,,
$.EmployeePIN,,String,EmployeePIN full 9 chars with letters ,,abcdefghtz,FAILED,,,,
$.EmployeePIN,,int[1:8],EmployeePIN is full 9 digits ,,,SUCCESS,,,,yes
$.EmployeeID,,String,EmployeeID set empty,,,SUCCESS,,,,yes
$.EmployeeID,,null,EmployeeID set null,,,SUCCESS,,,,yes
$.EmployeeID,,String,EmployeePIN set more than 9 digit,,1234567899,FAILED,,,,
$.EmployeeID,,String,EmployeePIN set less than 9 digit,,12345678,FAILED,,,,
$.EmployeeID,,String,EmployeeID 9 chars with digit and letters,,123456ung,FAILED,,,,
$.EmployeeID,,String,EmployeeID full 9 letters,,anthitqme,FAILED,,,,
$.EmployeeID,,int[1:8],EmployeeID is full 9 digits ,,,SUCCESS,,,,yes
$.EmployeeSocialSecurity,,String,EmployeeSSN set empty,,,SUCCESS,,,,
$.EmployeeSocialSecurity,,null,EmployeeSSN set null,,,SUCCESS,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN set more than 9 digit,,1234567899,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN set less than 9 digit,,12345678,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN 9 chars with digit and letters,,123456ung,FAILED,,,,
$.EmployeeSocialSecurity,,String,EmployeeSSN full 9 letters,,anthitqme,FAILED,,,,
$.EmployeeLastName,,String[0:30],EmployeeLastName is greater than 30 chars,,,FAILED,,,,
$.EmployeeLastName,,String,EmployeeLastName has numeric,,Lastname34201,FAILED,,,,
$.EmployeeLastName,Yes,String,EmployeeLastName is required,,,FAILED,,,,
$.EmployeeFirstName,,String[0:30],EmployeeFirstName is greater than 30 chars,,,FAILED,,,,
$.EmployeeFirstName,,String,EmployeeFirstName has numeric,,First34201,FAILED,,,,
$.EmployeeFirstName,Yes,String,EmployeeFirstName is required,,,FAILED,,,,
$.EmployeeMiddleInitial,,null,EmployeeMiddleInitial is null,,,SUCCESS,,,,
$.EmployeeMiddleInitial,,String,EmployeeMiddleInitial is empty,,,SUCCESS,,,,
$.EmployeeMiddleInitial,,String[0:1],EmployeeMiddleInitial is greater than 1 char,,,FAILED,,,,
$.EmployeeMiddleInitial,,String,EmployeeMiddleInitial is greater than 1 char,,M,SUCCESS,,,,
$.Department,,null,Department is null,,,SUCCESS,,,,
$.Department,,String,Department is empty,,,SUCCESS,,,,
$.Department,,String[0:3],Department is greater than 1 char,,,FAILED,,,,
$.EmployeeType,,null,EmployeeType is null,,,SUCCESS,,,,
$.EmployeeType,,String,EmployeeType is empty,,,SUCCESS,,,,
$.EmployeeType,,String[0:1],EmployeeType is greater than 1 char,,,FAILED,,,,
$.Discipline,,String,Discipline set empty,,,SUCCESS,,,,
$.Discipline,,null,Discipline set null,,,SUCCESS,,,,
$.Discipline,,String[0:17],Discipline range 17 letters,,,FAILED,,,,
$.Discipline,,String,Discipline in range 17,,Disciplineautomaw,SUCCESS,,,,
$.EmployeeEmailAddress,,null,EmployeeEmailAddress is null,,,SUCCESS,,,,
$.EmployeeEmailAddress,,String,EmployeeEmailAddress is empty,,,SUCCESS,,,,yes
$.EmployeeEmailAddress,,String,EmployeeEmailAddress is incorrect format,,EmailIncorrect@com,FAILED,,,,
$.EmployeeEmailAddress,,String,EmployeeEmailAddress is incorrect format,,Employee@Email@com,FAILED,,,,
$.EmployeeEmailAddress,,String,EmployeeEmailAddress is incorrect format,,Client email@mail.com,FAILED,,,,
$.EmployeeEmailAddress,,String[0:50],EmployeeEmailAddress is greater than 50 chars,,,FAILED,,,,
$.EmployeeAddress1,,String,EmployeeAddressLine1 set empty,,,SUCCESS,,,,
$.EmployeeAddress1,,null,EmployeeAddressLine1 set null,,,SUCCESS,,,,
$.EmployeeAddress1,,String[0:30],EmployeeAddressLine1 range 30 letters,,,FAILED,,,,
$.EmployeeAddress1,,String,EmployeeAddressLine1 in range 30,,EmployeeAddressLine1 automatio,SUCCESS,,,,
$.EmployeeAddress2,,String,EmployeeAddressLine2 set empty,,,SUCCESS,,,,
$.EmployeeAddress2,,null,EmployeeAddressLine2 set null,,,SUCCESS,,,,
$.EmployeeAddress2,,String[0:30],EmployeeAddressLine2 range 30 letters,,,FAILED,,,,
$.EmployeeAddress2,,String,EmployeeAddressLine2 in range 30,,EmployeeAddressLine2 automatio,SUCCESS,,,,
$.EmployeeCity,,String,EmployeeCity set empty,,,SUCCESS,,,,
$.EmployeeCity,,null,EmployeeCity set null,,,SUCCESS,,,,
$.EmployeeCity,,String[0:30],EmployeeCity range 30 letters,,,FAILED,,,,
$.EmployeeCity,,String,EmployeeCity in range 30,,EmployeeCity automation,SUCCESS,,,,
$.EmployeeState,,null,EmployeeState is null,,,SUCCESS,,,,
$.EmployeeState,,String,EmployeeState is empty,,,SUCCESS,,,,
$.EmployeeState,,String[0:2],EmployeeState is greater than 1 char,,,FAILED,,,,
$.EmployeeZipCode,,String,EmployeeZipCode set empty,,,SUCCESS,,,,
$.EmployeeZipCode,,null,EmployeeZipCode set null,,,SUCCESS,,,,
$.EmployeeZipCode,,String[0:10],EmployeeZipCode range 9 letters,,,FAILED,,,,
