Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.Account,,String,Account set empty,,,FAILED,,,,
$.Account,,null,Account set null,,,FAILED,,,,
$.ClientIDQualifier,yes,String[0:20],ClientIDQualifier is require 20 string length,,,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientID,,ClientID,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientSSN,,ClientSSN,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientOtherID,,ClientOtherID,FAILED,,,,
$.ClientIDQualifier,,String,ClientIDQualifier value ClientCustomID,,ClientCustomID,SUCCESS,,,,yes
$.ClientID,yes,String[0:9],ClientID must be 10 digits including leading zeros,,,FAILED,,,,
$.ClientID,,String,ClientID 10 include digits and letters ,,123456abce,FAILED,,,,
$.ClientID,,String,ClientID 9 digits ,,123456789,FAILED,,,,
$.ClientID,,String,ClientID 10 letters ,,acbefltshp,FAILED,,,,
$.ClientID,,int[0:9],ClientID must be 10 digits including leading zeros,,,SUCCESS,,,,
$.EmployeePINQualifier,yes,String[0:20],EmployeePINQualifier is require 20 string length ,,EmployeeSSN,FAILED,,,,
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeSSN ,,EmployeeSSN,SUCCESS,,,,yes
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeRegID ,,EmployeeRegID,FAILED,,,,
$.EmployeePINQualifier,,String,EmployeePINQualifier value EmployeeCustomID ,,EmployeeCustomID,FAILED,,,,
$.EmployeePIN,yes,int[0:9],EmployeePIN value 9 digits ,,,FAILED,,,,
$.ScheduleID,yes,int[0:40],ScheduleID value 40 digits ,,,FAILED,,,,
$.ScheduleID,,String[0:40],ScheduleID value 40 letters ,,,FAILED,,,,
$.ScheduleID,,String,ScheduleID value mix digits and letters ,,1293585abcetdlsf,SUCCESS,,,,
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-02T12:12:12Z,SUCCESS,,,,
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-30T12:12:12Z,FAILED,,,,
$.ScheduleStartTime,,String,ScheduleStartTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-02-2020T12:12:12Z,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-04-30T12:12:12Z,SUCCESS,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-30-04T12:12:12Z,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-04-2020T12:12:12Z,FAILED,,,,
$.ScheduleEndTime,,String,ScheduleEndTime with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-2020-04T12:12:12Z,FAILED,,,,
$.ScheduleFlag,,null,ScheduleFlag set null,,,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set empty,,,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 1,,1,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 0,,0,SUCCESS,,,,
$.ScheduleFlag,,String,ScheduleFlag set 01,,01,FAILED,,,,
$.ScheduleFlag,,String,ScheduleFlag set 3,,3,FAILED,,,,
$.Status,,String,Status value 02,,02,SUCCESS,,,,
$.Status,,String,Status value 04,,04,SUCCESS,,,,
$.Status,,String,Status value 05,,05,FAILED,,,,
$.Status,,String,Status value 2,,2,FAILED,,,,
$.Status,,String,Status is empty,,,SUCCESS,,,,
$.Status,,null,Status value null,,,SUCCESS,,,,
$.Modifier1,,String,Modifier1 UN,,UN,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U5,,U5,SUCCESS,,,,
$.Modifier1,,String,Modifier1 UA,,UA,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U2,,U2,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U3,,U3,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U4,,U4,SUCCESS,,,,
$.Modifier1,,String,Modifier1 TD,,TD,SUCCESS,,,,
$.Modifier1,,String,Modifier1 TE,,TE,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U6,,U6,SUCCESS,,,,
$.Modifier1,,String,Modifier1 UP,,UP,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U7,,U7,SUCCESS,,,,
$.Modifier1,,String,Modifier1 HM,,HM,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U9,,U9,SUCCESS,,,,
$.Modifier1,,String,Modifier1 UD,,UD,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U1,,U1,SUCCESS,,,,
$.Modifier1,,String,Modifier1 U8,,U8,SUCCESS,,,,
$.Modifier1,,String,Modifier1 22,,22,SUCCESS,,,,
