Account,Payer,Program,HCPCS,RevCode,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,ErrorMessage,isCheckedDatabase
,PAUPMC,2C,S5150,,,,,,,SUCCESS,SUCCESS,0,yes
,PAUPMC,2C,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2C,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2C,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2C,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2C,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2C,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2B,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,T1005,,,,,,,SUCCESS,SUCCESS,0,yes
,PAACP,2A,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2A,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAKF,2D,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2G,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2K,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,T1005,,,,,,,SUCCESS,SUCCESS,0,yes
,PAACP,2P,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAACP,2P,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2E,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2H,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,S5150,,,,,,,SUCCESS,SUCCESS,0,
