Name,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
ClientFirstName,String,ClientFirstName is 30 chars,,dgfdg erw egegerwrrrtwert qtra,SUCCESS,,SUCCEESS,,0
ClientFirstName,String,ClientFirstName is lower than 30 chars,,ClientOne,SUCCESS,,SUCCEESS,,0
ClientFirstName,String,ClientFirstName is greater than 30 chars,,Client more30chars 01242314343a,FAILED,'ERROR: The ClientFirstName format is incorrect. The record should satisfy this regular expression [''([ ]*)([A-Za-z''.\\-]+)([A-Za-z''.\\- ]*)'']. Invalid Value=''Client more30chars 01242314343a ',FAILED,,
ClientFirstName,String,ClientFirstName is full numeric chars,,4.56746112333333E+032,FAILED,'ERROR: The ClientFirstName format is incorrect. The record should satisfy this regular expression [''([ ]*)([A-Za-z''.\\-]+)([A-Za-z''.\\- ]*)'']. Invalid Value=''Client more30chars 01242314343a ',FAILED,,
ClientFirstName,String,ClientFirstName is null,,,FAILED,ERROR: The ClientFirstName value is incorrect. The length should be between 1 and null.,ERROR: The ClientFirstName cannot be null. ,FAILED,
ClientFirstName,String,ClientFirstName is space,,  ,FAILED,'ERROR: The ClientFirstName format is incorrect. The record should satisfy this regular expression [''([ ]*)([A-Za-z''.\\-]+)([A-Za-z''.\\- ]*)'']. Invalid Value='' ''. ',FAILED,,
ClientFirstName,String,ClientFirstName is empty,,  ,FAILED,'ERROR: The ClientFirstName format is incorrect. The record should satisfy this regular expression [''([ ]*)([A-Za-z''.\\-]+)([A-Za-z''.\\- ]*)'']. Invalid Value=''''.|ERROR: The ClientFirstName value is incorrect. The length should be between 1 and null. ',FAILED,,
ProviderQualifier ,String,ProviderQualifier  is MedicaidID,,MedicaidID,SUCCESS,,SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,SandataID ,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''SandataID''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,NPI ,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''NPI''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,API ,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''API''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,TaxID ,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''TaxID''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,Taxonomy,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''Taxonomy''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,Legacy,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''Legacy''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,Other,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''Other''.',SUCCESS,,0
ProviderQualifier ,String,ProviderQualifier  is different MedicaidID,,MedicaidIDaaa,FAILED,'ERROR: The ProviderQualifier format is incorrect. The record should satisfy this regular expression [''SandataID|NPI|API|MedicaidID|TaxID|Taxonomy|Legacy|Other'']. Invalid Value=''MedicaidIDaaa''.',SUCCESS,,0
