Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,Error Message
PAUPMC,2C,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2C,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2B,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2A,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAKF,2D,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2G,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2K,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
