Account,Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,ErrorMessage,isCheckedDatabase
,RI Medicaid,MB3,G0299,,,,,,,SUCCESS,SUCCESS,-553,
,RI Medicaid,MB3,S5125,,U1,UJ,U9,U2,,SUCCESS,SUCCESS,0,yes
,RI Medicaid,MB3,T1000,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD1,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD3,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD4,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MC1,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MP1,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MH1,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD1,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD3,S5130,,,,,,,SUCCESS,SUCCESS,0,yes
,RI Medicaid,MD4,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MC1,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MP1,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MH1,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI_TUFTS,RTH,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI_UNITED,RUH,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI_NHP,RNH,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD1,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD3,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MD4,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MC1,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MP1,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI Medicaid,MH1,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI_TUFTS,RTH,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI_UNITED,RUH,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI_NHP,RNH,T1000,,UH,,,,,SUCCESS,SUCCESS,0,
,RI_UNITED,RUH,S5125,,,,,,,SUCCESS,SUCCESS,0,
,RI_UNITED,RUH,T1000,,,,,,,SUCCESS,SUCCESS,0,
,RI_UNITED,RUH,S5130,,,,,,,SUCCESS,SUCCESS,0,
,RI_TUFTS,RTH,S5125,,,,,,,SUCCESS,SUCCESS,0,
,RI_TUFTS,RTH,T1000,,,,,,,SUCCESS,SUCCESS,0,
,RI_TUFTS,RTH,S5130,,,,,,,SUCCESS,SUCCESS,0,yes
