Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientQualifier,,String,ClientQualifier is ClientCustomID,,ClientCustomID,SUCCESS,,,,Yes
$.ClientQualifier,Yes,String,ClientQualifier  is required,,,FAILED,,,,
$.ClientQualifier,,String,ClientQualifier  is different ClientCustomID,,ClientOtherID,FAILED,,,,
$.ClientQualifier,,String,ClientQualifier  is different ClientCustomID,,ClientSSN,FAILED,,,,
$.ClientQualifier,,String,ClientQualifier  is different ClientCustomID,,ClientCustomIDa,FAILED,,,,
$.ClientQualifier,,String[0:20],ClientQualifier is greater than 20 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,Yes,String,ProviderQualifier  is required,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,NPI,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,API,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,TaxID,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,Taxonomy,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,Legacy,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,Other,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,MedicaidIDaaa,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier  is different MedicaidID,,SandataID,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,null,ProviderQualifier  is  null,,null,FAILED,The ProviderQualifier (Client) cannot be null.,,,
$.ClientPayerInformation[0].PayerID ,Yes,String,PayerID is Required,,,FAILED,,,,
$.ClientPayerInformation[0].ProcedureCode,Yes,String,ProcedureCode is Required,,,FAILED,,,,
$.ClientPayerInformation[0].ProcedureCode,,String[0:6],ProcedureCode is greater than 6 chars,,,FAILED,,,,
$.ClientPayerInformation[0].PayerProgram ,Yes,String,PayerProgram is Required,,,FAILED,,,,
