Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ProviderIdentification.ProviderQualifier,Yes,String,ProviderQualifier is required,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String[0:21],ProviderQualifier is greater than 20 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier is MedicaidID,,MedicaidID,SUCCESS,,,,yes
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier is different MedicaidID,,SandataID,FAILED,,,,
$.ProviderIdentification.ProviderID,Yes,String,ProviderID is required,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,int[1:8],ProviderID is not exist in database,,,FAILED,,,,
$.ClientQualifier,Yes,String,ClientQualifier is required,,,FAILED,,,,
$.ClientQualifier,,String[0:21],ClientQualifier is greater than 20 chars,,,FAILED,,,,
$.ClientQualifier,,String,ClientQualifier is ClientCustomID,,ClientCustomID,SUCCESS,,,,yes
$.ClientQualifier,,String,ClientQualifier is different ClientCustomID,,ClientMedicaidID,FAILED,,,,
$.ClientTimezone,Yes,String,ClientTimezone is required,,,FAILED,,,,
$.ClientTimezone,,String[0:65],ClientTimezone is greater than 64 chars,,,FAILED,,,,
$.ClientTimezone,,String,ClientTimezone is US / Central,,US / Central,SUCCESS,,,,yes
$.ClientTimezone,,String,ClientTimezone is different US / Central,,US / CentralABC,FAILED,,,,
$.ClientPayerInformation[0].PayerID,Yes,String,PayerID is required,,,FAILED,,,,
$.ClientPayerInformation[0].PayerID,,String[0:65],PayerID is greater than 64 chars,,,FAILED,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is invalid value,,WWWWWW,FAILED,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is WIFFS,,WIFFS,SUCCESS,,,,yes
$.ClientPayerInformation[0].PayerID,,String,PayerID is ANTBCBS,,ANTBCBS,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is CAREWI,,CAREWI,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is CCOMMHP,,CCOMMHP,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is DEANHP,,DEANHP,SUCCESS,,,,
